serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
1,Mottaiyanoor,"Manur  Panchayat  Union Primary School,  Eastern Portion","1.Mottaiyanoor  South Street
2.Mottaiyanoor  Main Road
3.Marakkudi  Rastha Keelpagam 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,21.00840336134454
2,Mottaiyanoor.,"Manur  Panchayat  Union Primary School,  Western Portion","1.Marakkudi  Rastha Main Road
2.Marakkudi  Rastha Keelpagam
3.Marakkudi  Rastha Main Road
4.Vallveechu Rastha 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,7.078313253012049
4,Golden Jubilee  Block Back Side East  Portion Ukkirankottai.,St.Peter  Hr.Sec.School,"1.Middle  Street,  North Street
2.Sampoothu 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,19.28020565552699
7,Ukkirankottai.,"St.Peter  Hr.Sec School,  Souther  Portion,  Middle  Part","1.Middle  Street  South Portion
2.Middle  Street  South Portion 1
3.Middle  Street  South Portion 2
4.North Street
5.Church Street
6.Middle  Sreet  South Portion 3
7.Middle  Street  South Portion 4
8.West  Portion 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,10.1063829787234
8,1st  Room Vagaikulam.,"T.D.T.A.St.  Paul  Middle  School,  North Portion,  Eastern Part","1.Balastheenapuram And Vagaigulam
2.Maruthappapuram 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,2.10896309314587
10,Vagaikulam,"T.D.T.A.St.  Paul  Midddle  School,  North Portion,  Western Part,  2nd Room","1.Amman Sannathi  East  Street
2.Arunthathiar  Street
3.Ward 1 South Street Vadakku   vagaigulam 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,12.47113163972286
12,Vagaikulam,"T.D.T.A.St.Paul  Middle  School,  Southern Portion,  Middle Part",1.Ward 2 Nadar  West  Street Vadakkuvagaigulam 999.OVERSEAS ELECTORS,dravida munnetra kazhagam,9.441233140655106
17,(Temp.High.  School  Building)  Panchayat  Union Middle School  Chettikurichi  Azhahiyapandipuram,(Temp.High.  School  Building)  Panchayat  Union Middle School  Chettikurichi  Azhahiyapandipuram,"1.Ward 2 Chettikurichi  North Street  1
2.Ward 2 Chettikurichi  South Street
3.Ward 2 Chettikurichi  North Street  2
4.Ward 2 Arunthathiyar  Street
5.Ward 2 Arunthathiyar  South Street
6.Ward 2 Samathuvapuram Road
7.Ward 2 Periyar  Samathuvapuram
8.Ward 2 Near  Periyar  Samamathuvapuram
9.Ward 2 Main Road
10.Ward 2 Punjai  Thottam 999.  OVERSEAS ELECTORS",tamilaga vettri kazhagam,6.782945736434108
18,Azhahiyapandipuram.,"T.D.T.A Primary School,  Western Portion","1.Ward 5 Kamarajar  East  Street
2.Ward 5 Church Street
3.Ward 5 Church South Street
4.Ward 5 Kamarajar  Street
5.Ward 5 Anna Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,9.339080459770114
19,Erandum Chollan.,"T.D.T.A Primary School,  North Portion South Faced","1.Irandum Sollan Pillaiyar  Kovil  Street
2.Block 1 Odai  Street
3.Block 1 Amman Kovil  Street
4.Block 1 Perumal  Kovil  Street
5.Block 1 Adi  Diravidar  Street
6.Block 2   Indira Ninaivu Kudieruppu
7.Block 2 North Street
8.Block 12 Church Street
9.Block 12 Church South Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,3.768115942028986
20,Kattarankulam.,"T.D.T.A Primary School,  Western Portion","1.Block 4 Nadar  Street,  Adi  Diravidar  Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,12.58064516129032
